GISJOIN,YEAR,STATE,TRACTA,race_white,race_black,race_american_indian_eskimo_aleut,race_asian_pacific_islander,race_other,housing_occupied,housing_vacant,year_built_1989_to_1990,year_built_1985_to_1988,year_built_1980_to_1984,year_built_1970_to_1979,year_built_1960_to_1969,year_built_1950_to_1959,year_built_1940_to_1949,year_built_1939_or_earlier,total_above_poverty,total_below_poverty,total_poverty_determined,poverty_rate,total_housing_units,occupancy_rate,avg_home_value_1990,2019-23_value,home_value_ratio_2019_23_to_1990
G06000104001,1990,California,4001,2374,128,5,216,0,1212,23,32,66,139,321,231,219,90,137,2632,79,2711,0.029140538546661748,1235,0.9813765182186235,387587.23828514456,1802100,4.649533890675241
G06000104002,1990,California,4002,1787,89,20,105,31,900,18,0,0,11,7,63,69,150,618,1794,174,1968,0.08841463414634146,918,0.9803921568627451,360064.55399061035,1930000,5.360149947029582
G06000104003,1990,California,4003,3765,805,34,288,116,2470,78,0,0,0,246,219,111,317,1655,4339,641,4980,0.12871485943775102,2548,0.9693877551020408,257632.00431034484,1850900,7.184278230317986
G06000104004,1990,California,4004,2582,865,29,296,85,1778,73,26,5,0,96,152,242,106,1224,3153,690,3843,0.1795472287275566,1851,0.9605618584548893,250137.57115749526,1398400,5.59052362077794
G06000104005,1990,California,4005,1186,1858,21,226,59,1483,66,0,31,28,5,105,168,307,905,2556,781,3337,0.23404255319148937,1549,0.9573918657198193,151801.39720558882,1313500,8.652753032444693
G06000104006,1990,California,4006,393,1124,0,75,88,729,24,0,5,6,38,61,45,184,414,1257,415,1672,0.24820574162679426,753,0.9681274900398407,160842.6966292135,1215800,7.558938176737687
G06000104007,1990,California,4007,544,3432,0,171,65,1757,109,0,34,40,299,130,221,206,936,3208,973,4181,0.23271944510882564,1866,0.9415862808145766,130134.90725126475,1098200,8.438934819230271
G06000104008,1990,California,4008,524,2330,9,246,48,1210,70,0,0,40,55,72,214,318,581,2353,790,3143,0.2513522112631244,1280,0.9453125,100242.16524216524,1054000,10.514537444933922
G06000104009,1990,California,4009,455,1859,6,90,16,992,96,0,0,27,34,36,85,370,536,1892,490,2382,0.20570948782535683,1088,0.9117647058823529,135324.07407407407,1101100,8.13676359904208
G06000104010,1990,California,4010,518,4560,33,251,134,2241,212,34,0,34,285,206,170,576,1148,3896,1583,5479,0.28892133601022085,2453,0.9135752140236445,113101.31195335276,943700,8.343846624778477
G06000104011,1990,California,4011,1412,1692,46,570,271,1819,158,22,5,0,11,192,217,388,1142,3287,696,3983,0.17474265628922922,1977,0.9200809307030855,190360.08230452676,1110000,5.831054423606982
G06000104012,1990,California,4012,1474,704,24,243,16,1183,72,0,75,0,0,98,136,229,717,1996,431,2427,0.17758549649773384,1255,0.9426294820717132,166531.53153153154,1172000,7.03770624830944
G06000104013,1990,California,4013,727,1230,11,382,66,1215,120,0,29,0,236,227,271,83,489,1513,548,2061,0.26589034449296456,1335,0.9101123595505618,254166.66666666666,793300,3.121180327868853
G06000104014,1990,California,4014,283,3338,22,328,211,1527,238,0,113,0,206,108,338,221,779,2760,1404,4164,0.3371757925072046,1765,0.8651558073654391,99011.36363636363,846800,8.552553655457363
G06000104015,1990,California,4015,175,1606,0,39,79,690,76,0,22,35,19,8,39,137,506,1206,678,1884,0.35987261146496813,766,0.9007832898172323,91569.76744186046,828300,9.045561904761906
G06000104016,1990,California,4016,191,1374,0,275,56,585,134,24,34,18,28,19,84,73,439,948,921,1869,0.492776886035313,719,0.8136300417246175,75987.65432098765,766300,10.084532900081236
G06000104017,1990,California,4017,291,1176,0,121,283,673,114,37,78,0,29,51,62,108,422,1461,380,1841,0.20640956002172733,787,0.855146124523507,106894.73684210527,758000,7.091088133924175
G06000104018,1990,California,4018,89,1418,0,264,13,644,101,12,15,7,0,27,104,222,358,1064,720,1784,0.40358744394618834,745,0.8644295302013423,87254.09836065574,1041000,11.930671676843588
G06000104022,1990,California,4022,114,1188,18,182,32,556,97,0,20,12,163,41,13,167,237,741,793,1534,0.5169491525423728,653,0.8514548238897397,61158.53658536585,727700,11.898584247258226
G06000104024,1990,California,4024,44,1871,0,76,7,952,72,0,38,148,352,73,82,90,241,1361,626,1987,0.31504781077000504,1024,0.9296875,220291.26213592233,752500,3.4159321286910536
G06000104025,1990,California,4025,75,2153,0,82,87,804,97,0,14,73,395,271,15,33,100,985,1404,2389,0.5876935956467141,901,0.8923418423973363,127500.0,947300,7.429803921568627
